"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","","","354","","com.lists.LimparListaTest","","com.lists.LimparListaTest","","testQuandoLimpoUmaListaEntaoObtenhoStatusCode201EOsDadosDaResposta",""
"broken","","","233","","com.lists.AdicionarFilmeTest","","com.lists.AdicionarFilmeTest","","testQuandoAdicionoUmFilmeSemEstarAutorizadoEntaoObtenhoStatusCode401EOsDadosDaResposta",""
"failed","","","107","","com.account.BuscarListasTest","","com.account.BuscarListasTest","","testQuandoBuscoAsListasEntaoObtenhoStatusCode200EOsDadosDaResposta",""
"broken","","","279","","com.lists.RemoverFilmeTest","","com.lists.RemoverFilmeTest","","testQuandoRemovoUmFilmeNaListaEntaoObtenhoStatusCode200EOsDadosDaResposta",""
"broken","","","401","","com.lists.AdicionarFilmeTest","","com.lists.AdicionarFilmeTest","","testQuandoAdicionoUmFilmeNaListaEntaoObtenhoStatusCode201EOsDadosDaResposta",""
"failed","","","361","","com.lists.CriarListaTest","","com.lists.CriarListaTest","","testQuandoCrioUmaListaEntaoObtenhoStatusCode201EOsDadosDaResposta",""
"broken","","","189","","com.lists.RemoverListaTest","","com.lists.RemoverListaTest","","testQuandoRemovoUmaListaEntaoObtenhoStatusCode500EOsDadosDaResposta",""
"broken","","","5966","","com.lists.BuscarDetalhesListaTest","","com.lists.BuscarDetalhesListaTest","","testQuandoOsDetalhesDeUmaListaEntaoObtenhoStatusCode200EOsDadosDaResposta",""
"broken","","","191","","com.lists.AdicionarFilmeTest","","com.lists.AdicionarFilmeTest","","testQuandoAdicionoUmFilmeRepetidoNaListaEntaoObtenhoStatusCode403EOsDadosDaResposta",""
"broken","","","223","","com.lists.AdicionarFilmeTest","","com.lists.AdicionarFilmeTest","","testQuandoAdicionoUmFilmeInvalidoEntaoObtenhoStatusCode404EOsDadosDaResposta",""
