"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","","","225","","com.lists.LimparListaTest","","com.lists.LimparListaTest","","testQuandoLimpoUmaListaEntaoObtenhoStatusCode201EOsDadosDaResposta",""
"broken","","","132","","com.lists.AdicionarFilmeTest","","com.lists.AdicionarFilmeTest","","testQuandoAdicionoUmFilmeSemEstarAutorizadoEntaoObtenhoStatusCode401EOsDadosDaResposta",""
"broken","","","135","","com.lists.AdicionarFilmeTest","","com.lists.AdicionarFilmeTest","","testQuandoAdicionoUmFilmeInvalidoEntaoObtenhoStatusCode404EOsDadosDaResposta",""
"broken","","","129","","com.lists.AdicionarFilmeTest","","com.lists.AdicionarFilmeTest","","testQuandoAdicionoUmFilmeRepetidoNaListaEntaoObtenhoStatusCode403EOsDadosDaResposta",""
"failed","","","240","","com.lists.CriarListaTest","","com.lists.CriarListaTest","","testQuandoCrioUmaListaEntaoObtenhoStatusCode201EOsDadosDaResposta",""
"broken","","","175","","com.lists.RemoverFilmeTest","","com.lists.RemoverFilmeTest","","testQuandoRemovoUmFilmeNaListaEntaoObtenhoStatusCode200EOsDadosDaResposta",""
"broken","","","236","","com.lists.AdicionarFilmeTest","","com.lists.AdicionarFilmeTest","","testQuandoAdicionoUmFilmeNaListaEntaoObtenhoStatusCode201EOsDadosDaResposta",""
"broken","","","5404","","com.lists.BuscarDetalhesListaTest","","com.lists.BuscarDetalhesListaTest","","testQuandoOsDetalhesDeUmaListaEntaoObtenhoStatusCode200EOsDadosDaResposta",""
"broken","","","116","","com.lists.RemoverListaTest","","com.lists.RemoverListaTest","","testQuandoRemovoUmaListaEntaoObtenhoStatusCode500EOsDadosDaResposta",""
"failed","","","72","","com.account.BuscarListasTest","","com.account.BuscarListasTest","","testQuandoBuscoAsListasEntaoObtenhoStatusCode200EOsDadosDaResposta",""
