"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","","","86","","com.lists.RemoverListaTest","","com.lists.RemoverListaTest","","testQuandoRemovoUmaListaEntaoObtenhoStatusCode500EOsDadosDaResposta",""
"failed","","","52","","com.account.BuscarListasTest","","com.account.BuscarListasTest","","testQuandoBuscoAsListasEntaoObtenhoStatusCode200EOsDadosDaResposta",""
"broken","","","129","","com.lists.AdicionarFilmeTest","","com.lists.AdicionarFilmeTest","","testQuandoAdicionoUmFilmeRepetidoNaListaEntaoObtenhoStatusCode403EOsDadosDaResposta",""
"broken","","","131","","com.lists.RemoverFilmeTest","","com.lists.RemoverFilmeTest","","testQuandoRemovoUmFilmeNaListaEntaoObtenhoStatusCode200EOsDadosDaResposta",""
"failed","","","169","","com.lists.CriarListaTest","","com.lists.CriarListaTest","","testQuandoCrioUmaListaEntaoObtenhoStatusCode201EOsDadosDaResposta",""
"broken","","","191","","com.lists.LimparListaTest","","com.lists.LimparListaTest","","testQuandoLimpoUmaListaEntaoObtenhoStatusCode201EOsDadosDaResposta",""
"broken","","","4527","","com.lists.BuscarDetalhesListaTest","","com.lists.BuscarDetalhesListaTest","","testQuandoOsDetalhesDeUmaListaEntaoObtenhoStatusCode200EOsDadosDaResposta",""
"broken","","","111","","com.lists.AdicionarFilmeTest","","com.lists.AdicionarFilmeTest","","testQuandoAdicionoUmFilmeInvalidoEntaoObtenhoStatusCode404EOsDadosDaResposta",""
"broken","","","245","","com.lists.AdicionarFilmeTest","","com.lists.AdicionarFilmeTest","","testQuandoAdicionoUmFilmeNaListaEntaoObtenhoStatusCode201EOsDadosDaResposta",""
"broken","","","123","","com.lists.AdicionarFilmeTest","","com.lists.AdicionarFilmeTest","","testQuandoAdicionoUmFilmeSemEstarAutorizadoEntaoObtenhoStatusCode401EOsDadosDaResposta",""
